step,id_batiment,difficulty_at_pick,repaired_infras
1,E000112,20.885069,2
2,E000098,20.982113,2
3,E000274,21.160614,2
4,E000222,23.11015,2
5,E000188,23.902639,3
6,E000127,24.58393,3
7,E000145,24.483141,3
8,E000144,22.612952,2
9,E000364,24.718561,3
10,E000365,9.911362,1
11,E000111,25.748561,3
12,E000185,26.282509,3
13,E000267,27.039143,3
14,E000268,14.679372,1
15,E000067,27.099494,3
16,E000252,27.40767,2
17,E000301,28.52368,4
18,E000315,25.858698,3
19,E000316,11.420295,2
20,E000128,30.011118,3
21,E000373,30.824434,3
22,E000376,17.532836,2
23,E000374,21.100767,2
24,E000377,29.602889,3
25,E000380,15.613018,2
26,E000378,21.012586,2
27,E000381,17.307119,2
28,E000266,33.838173,3
29,E000293,19.199693,2
30,E000085,34.690247,3
31,E000106,10.764288,2
32,E000107,5.103713,1
33,E000183,35.910856,3
34,E000322,36.296332,3
35,E000346,18.265673,2
36,E000359,16.930209,2
37,E000366,23.814918,2
38,E000108,42.566899,3
39,E000109,5.627008,1
40,E000110,45.790539,2
41,E000325,47.170307,3
42,E000326,22.089046,2
43,E000184,47.382701,2
44,E000129,47.763867,2
45,E000360,52.434555,4
46,E000367,12.577945,2
47,E000368,7.796129,1
48,E000361,19.088366,2
49,E000369,16.277637,2
50,E000372,16.958646,2
51,E000375,15.443318,2
52,E000379,16.799867,2
53,E000003,54.541389,3
54,E000146,58.695058,6
55,E000225,0.0,0
56,E000196,0.0,0
57,E000194,0.0,0
58,E000259,0.0,0
59,E000258,0.0,0
60,E000195,0.0,0
61,E000302,6.090909,2
62,E000257,28.2877,3
63,E000178,37.844261,5
64,E000197,11.281379,2
65,E000226,12.447512,2
66,E000227,7.590496,1
67,E000228,20.833297,4
68,E000229,3.799689,1
69,E000198,18.215227,2
70,E000260,18.261588,3
71,E000275,13.134691,3
72,E000317,18.86372,4
73,E000327,12.916113,3
74,E000358,13.508727,3
75,E000363,11.638677,3
76,E000370,13.175809,3
77,E000303,16.458336,2
78,E000371,22.327561,2
79,E000160,37.936223,4
80,E000161,38.619815,3
81,E000176,56.641289,3
82,E000177,24.917337,2
83,E000174,57.163886,3
84,E000175,44.845471,2
85,E000193,19.65877,2
