etape,id_batiment,difficulte_batiment,nb_infras_reparees,nb_maisons_total,longueur_totale
1,E000112,20.8850694074126,2,2,20.8850694074126
2,E000098,20.982112759848818,2,2,20.982112759848818
3,E000274,21.160613810546728,2,2,21.160613810546728
4,E000222,23.11014992402678,2,3,37.68199782499128
5,E000188,23.902639461167087,3,3,23.902639461167087
6,E000127,24.58393013900523,3,5,51.10933530120223
7,E000145,24.48314096617757,3,4,37.01781528015367
8,E000144,22.61295228136448,2,2,22.61295228136448
9,E000364,24.71856093749173,3,19,183.12191789940144
10,E000365,9.91136244085116,1,1,9.91136244085116
11,E000111,25.74856091413169,3,3,25.74856091413169
12,E000185,26.28250944368038,3,3,26.28250944368038
13,E000267,27.03914277373685,3,5,45.12683992874796
14,E000268,14.6793721892947,1,1,14.6793721892947
15,E000067,27.09949424694047,3,3,27.09949424694047
16,E000252,27.407669512071607,2,2,27.407669512071607
17,E000301,28.523680021916093,4,8,65.80065208457195
18,E000315,25.858697913425377,3,4,46.550152065376885
19,E000316,11.420295179706962,2,2,11.420295179706962
20,E000128,30.0111175687065,3,4,41.9628288442365
21,E000373,30.82443413316572,3,10,103.92577660631524
22,E000376,17.53283565663611,2,2,17.53283565663611
23,E000374,21.1007669425209,2,2,21.1007669425209
24,E000377,29.60288873514772,3,7,72.50497963141623
25,E000380,15.61301804103954,2,2,15.61301804103954
26,E000378,21.01258623478037,2,3,34.49748926922427
27,E000381,17.30711853106793,2,2,17.30711853106793
28,E000266,33.83817286893894,3,9,106.40380526267515
29,E000293,19.19969293595059,2,4,28.10318376185417
30,E000085,34.69024748209623,3,10,137.80614407244272
31,E000106,10.76428787409844,2,3,18.40022432355826
32,E000107,5.1037127857757,1,1,5.1037127857757
33,E000183,35.910855668063576,3,4,38.629991468135955
34,E000322,36.2963321928017,3,9,111.4687707046307
35,E000346,18.26567307400972,2,4,31.23395849220736
36,E000359,16.93020942180184,2,3,22.41450474973518
37,E000366,23.8149180813825,2,2,23.8149180813825
38,E000194,37.546868144958765,4,163,1529.6197805108402
39,E000302,6.09090915018645,2,2,6.09090915018645
40,E000146,10.45003031529588,2,2,10.45003031529588
41,E000257,28.28769966968554,3,3,28.28769966968554
42,E000197,37.384144718726944,5,55,451.9816523133794
43,E000178,11.74149502379065,2,2,11.74149502379065
44,E000226,12.447512457742729,2,3,18.01072016744276
45,E000227,7.59049553958964,1,1,7.59049553958964
46,E000228,20.833297455675943,4,26,142.28931370712726
47,E000229,3.79968906454059,1,1,3.79968906454059
48,E000198,18.21522701497465,2,2,18.21522701497465
49,E000260,18.26158775710595,3,11,84.56235886494242
50,E000275,13.134690992616221,3,10,41.728605697834176
51,E000317,18.86371961644857,4,15,79.9852820607767
52,E000327,12.916112585878611,3,7,29.579779463291608
53,E000358,13.50872656658016,3,6,28.08498587894988
54,E000363,11.63867700838251,3,5,19.02822905003089
55,E000370,13.17580919985829,3,4,17.44807242534441
56,E000303,16.45833628846377,2,2,16.45833628846377
57,E000371,22.327561211449808,2,2,22.327561211449808
58,E000160,37.93622273085667,4,13,127.83076064872458
59,E000161,38.61981454177846,3,5,89.03163600696365
60,E000108,42.56689899583969,3,6,87.7141374099806
61,E000109,5.62700791605979,1,1,5.62700791605979
62,E000110,45.79053875732595,2,2,45.79053875732595
63,E000325,47.17030716457175,3,4,79.40373014135096
64,E000326,22.089045537122303,2,2,22.089045537122303
65,E000184,47.3827006296187,2,2,47.3827006296187
66,E000129,47.763867373244224,2,2,47.763867373244224
67,E000360,52.43455498631722,4,20,313.40132049877366
68,E000367,12.577945383925279,2,3,18.02420183066047
69,E000368,7.79612855602243,1,1,7.79612855602243
70,E000361,19.08836635143788,2,6,45.533897021882204
71,E000369,16.277637307555132,2,5,40.37500942065692
72,E000372,16.9586462083857,2,4,33.1381229235495
73,E000375,15.44331794859,2,3,21.557072596564723
74,E000379,16.79986673839191,2,2,16.79986673839191
75,E000003,54.541389487204796,3,3,54.541389487204796
76,E000176,56.6412887743143,3,4,91.252126561121
77,E000177,24.917337371992453,2,2,24.917337371992453
78,E000174,57.16388642452796,3,5,125.39472090680377
79,E000175,44.8454709565997,2,3,79.6827282219179
80,E000193,19.65877046948145,2,2,19.65877046948145
